First,Final
75.95,74.38
83.13,81.88
52.6,56.5
70.4,71.25
62.88,57.63
67.18,67.13
70.68,72.63
55.03,45.88
66.35,61.63
68.93,70.13
60.2,69.75
63.4,60.13
62.03,58.67
62.03,58.67
62.88,58.25
71.48,65.38
64.83,66.75
64.7,66.88
62.43,56.75
61.45,60.38
60.9,58.63
71,75.46
73.1,75.54
67.75,70.88
55.73,60
60.75,64.38
68.25,65.83
70.53,70.13
64.45,69.5
70.98,71.88
60.55,58.75
54.38,60.63
68.98,66
68.2,60.5
57.9,63.25
57.53,52.75
76.1,74.75
58.35,57.75
66.75,66.75
48.78,45.63
48.78,45.63
67.7,66.25
55.35,55
68.2,66
66.48,68.38
63.25,63
59.55,57.13
62.6,66.88
52.73,45.38
59.73,62.63
65.5,65.83
72.25,68.13
69,63
73.95,75.5
63.05,61.13
57.1,56.25
66.98,70.38
62.75,63.25
64.25,61.88
68.93,67.63
65.7,64.08
69.65,70.5
64.85,69
61.5,59.63
66.73,69
46.48,54.13
46.48,54.13
65.45,64.75
65.45,64.75
62.68,62.88
63.9,68.25
65.1,66.5
57.83,60.13
63.88,67.38
78.1,70.5
51.3,49.25
51.3,49.25
62.83,58.75
58.75,57
47.9,54.13
57.08,55.25
44.4,50.13
44.4,50.13
49.88,53.38
58.48,59.25
58.48,59.25
58.48,59.25
47.2,64.5
47.2,64.5
52.68,54.25
51.95,61
64.25,54.75
59.8,48.75
72.2,72.63
55.8,54.25
66.45,61.5
68.08,65.75
60.6,61
66,71.63
64.7,61.88
61.38,59.25
62.58,56
62.58,56
65.45,62.88
59.78,55.13
61.23,57.13
76,74.25
54.28,57.38
67.8,63.13
67.83,67.21
61.98,60
71.55,65.25
54.35,53.38
63.8,57.25
67.83,67.38
64.95,64.13
64.95,64.13
66.48,62.13
66.48,62.13
66.25,64.38
60.95,62.63
64.3,64.63
68.15,66.75
56.43,64.5
66.48,66.75
68.38,70.13
69.48,64.88
72.93,75.63
65.23,63
67.38,66.29
75.38,68.63
59.55,57.63
66.05,62.13
66.05,62.13
63.25,66.5
70.7,53.5
72.95,72.42
67.73,69.38
51.08,47.5
51.08,47.5
62.23,57.25
82.33,70
64.5,64.25
66.68,62.63
76.65,73.58
63.68,65.63
63.68,65.63
73.3,67.21
56.4,51.63
51.95,51.25
64.4,57.5
71.53,70.63
61.13,60.13
59.53,60.58
69.8,61.04
66.18,59
69,66.63
66.38,62.25
68.68,69.63
70.08,64.5
60.55,60.5
83.65,73.5
57.2,67.13
59.63,60.13
66.13,63.38
55.03,53.13
63.45,62.38
72.4,69.33
73.9,73.04
64.53,59.5
75.78,75
66.85,59.88
65.78,68.63
63.85,62
54.48,52
68.83,60.5
62.68,59.13
62.83,58.75
64.28,59.75
66.08,65.13
61.68,57.25
67.83,66.5
63.45,53.13
71.1,71.75
65.95,69
62.53,63.25
71.68,67.88
63.3,51.63
64.78,66.25
56.98,58.25
57.3,51.25
64.1,61.5
62.28,64.88
67.88,57.75
67.93,63.75
61.03,61.88
71.75,62.88
66.25,66
65.63,64.63
69.6,66.25
67.88,67.13
63.45,68.75
67.13,63.88
66.95,64
62.43,66.13
62.43,66.13
71.58,70.92
59.98,54.13
61.68,57.63
62.08,56
73.3,60.92
57.53,58
63.75,64.38
64.5,61.13
62.28,63.5
57.93,59.5
72.75,68.88
67.63,66.13
68.65,64.25
68.73,65.25
65.98,63.25
70.65,67
67.63,64.38
66.28,63.88
61.98,58.5
69.25,67.13
65.45,61.75
58.48,57.38
67.25,65.63
57.53,57.75
73.63,68.42
50.85,48.25
49.2,48.88
49.2,48.88
57.75,63.5
64.75,59.63
68.25,63.38
68.6,65.13
68.25,69.25
68.28,61.25
70.05,69.38
59.9,52.88
62.7,54
66.38,64.75
58.23,65.25
65.63,64
52.43,51.5
49.55,51
60.03,62.13
65.2,68.25
66.25,62.13
61.98,55.88
68.18,54.88
61.2,54.5
69.5,66.5
62.15,61.38
58.75,57.63
69.55,71.13
76.98,72.25
70.33,65.63
68.2,64.13
62.53,62.63
72.25,68.5
72.95,68.75
62.68,62.25
48.35,50.63
48.35,50.63
57.73,61.88
64.78,63.63
64.78,63.63
64.95,61.5
62.68,51.63
71.68,68.79
54.25,53.38
65.05,61.13
67.63,67.5
65.65,60.38
65,65.25
65.73,63.75
59.88,52.88
61.53,60.25
67.3,66.04
58.03,64
62.93,61.13
72.65,71.13
58.75,56.75
66.48,62.38
61.65,62.13
72.5,63
59.95,62.79
56.68,57.63
58.9,54.38
57.7,50.75
57.7,50.75
70.65,67.38
57.88,61.88
63.23,69.13
55.5,56.75
52.7,48.5
52.7,48.5
63.23,60
67.28,63.5
65.83,58.63
61.15,62.5
62.68,63.5
73.7,58.13
65.08,59.25
54.63,48.13
65.48,63.13
67.78,60.5
63,58.63
59.45,60.5
59.45,60.5
60.35,59.88
64.63,60.63
57.35,50.5
63.33,62.63
62.85,57.88
51.55,48.5
61.6,61.63
55.75,55.25
57.25,46
57.25,46
61.1,63.88
57.88,62
61.33,53.63
61.33,53.63
60.63,52.88
65.53,61.13
65.83,65
60.23,56.75
68.95,60.5
60.25,58
67.53,56.88
69.95,63.13
58.9,53
69.93,63.58
65.93,61
65.88,62.63
67,59.5
51.15,57.75
57.65,47.25
61.48,65
59.98,57.25
55.43,54.13
60.78,57.88
60.78,57.88
65.8,60.63
65.73,62.25
52.75,49.13
63.2,58.63
64.35,61.25
60.88,56.38
57.78,52.5
62.08,59.13
70.7,62.25
61.13,63.38
64.93,55
64.98,56.63
65.5,59.63
57.75,58.63
63.25,67.13
65.8,69.38
58.08,53.5
60.48,55.38
63.3,62.75
66.2,62
61.98,61.25
58.68,60.88
68.7,58.5
58.38,52.38
65.18,64
57.53,52.5
67.38,60.88
69.53,65.88
66.43,64
58.08,57
51.25,45.25
62.95,60.75
63.25,59.5
63.95,68.5
55.63,65.13
63.48,60.13
60.63,61.13
66.3,59.38
66,69.75
65.18,63.38
56.88,54.38
67.4,61.88
74.28,66.79
64.5,62.5
63.2,56
58.13,58.63
62.35,53.88
65.15,58
67.75,62.5
65.05,62.5
61.68,59.75
66.78,65.46
68.5,66.13
67.23,65
56.9,55.63
59.3,55.5
49.9,57
63.03,57.88
77.13,72
77.13,72
66.2,66.63
59.28,59.38
58.6,59.25
58.6,59.25
65.45,57.88
61.58,67.25
56.15,57.63
57.8,52.13
69.4,67.17
60.98,60.13
63.6,60.5
63.2,67
60.9,51.25
63.23,57.38
62,59.63
67.23,62
62.75,57
53.68,51.63
58.88,51
69.25,61.75
43.23,45.75
43.23,45.75
57.65,50.5
60.35,59.13
58.3,59.88
66.25,59.38
55.63,56.88
55.63,56.88
68.6,66
66.53,65.75
60.15,53.13
55.95,52.13
64.3,58
60.03,55.38
60.05,57
59.25,60.13
61,60
62.6,55.13
65.95,59.75
60.53,63.25
64.1,60.13
61.7,59.88
64.3,61
63.53,62.75
60.48,57.25
62.55,52
62.55,52
61.18,51.88
55.43,55.75
70.73,69.42
60.4,57.38
66.63,62.63
61.3,58.5
64.9,61.13
67.15,63.25
70.25,72.25
74.3,74.17
59.58,61.63
68.38,66.5
66,64.75
60.15,63.75
65.78,63
60.4,66.75
72.55,67
54.63,55.88
73.25,69
62.33,66.92
64.73,61.13
63.48,61.38
65.88,57.5
66,63.75
69.7,65.25
51.08,50.13
60.1,59.75
64.45,64.46
59.68,56.25
63.5,67
59.63,66.25
59.95,62.63
64.18,63.88
59.35,54.38
52.53,56
54.23,57.13
66.03,65.88
62.05,54
64.1,71.63
53.8,58.13
65.15,60.13
60.48,62.75
58.58,52.88
71.95,63.13
59.95,62.5
58.65,59.38
54.15,54.25
54.15,54.25
63.7,60.25
66.4,65.75
67.23,54.63
73.88,67.88
52.88,60.38
66.33,66.38
62.9,65.88
64.4,59.63
61.1,74.38
61.58,57.63
70.58,67.25
48.98,51.5
56.05,64.25
78.78,77.38
58.7,58.25
58.7,58.25
64.75,61.38
66.43,62.75
66.55,60.63
64.83,56.88
64.6,64.5
66.28,59.75
67.5,60.63
64.6,65.88
64.6,65.88
61.33,61.75
71.03,66.75
62.4,60.25
64.4,59.25
69.95,71.25
64.78,61.5
63.95,60.5
64.18,60
64.75,69.25
63.65,54.5
67.75,65.88
58.35,59.5
51.38,51.13
64.13,62.88
65.4,63.63
64.25,61.25
55.7,61.25
61.8,60.63
44.38,52.25
44.38,52.25
62.5,56
64.13,63
60.03,60.25
66.9,61.88
64.68,71.5
62.13,64.88
65.58,65.75
67.3,63.38
65.63,62.38
68.38,57.13
60.93,58.63
80.03,76.5
53.95,50.75
62.7,62.13
64.83,63.5
68,66.75
64.9,61.75
55.78,55.75
56.63,51
76.6,68.5
62.03,60.63
64.48,63.5
53.53,59.13
63.33,61.38
57.73,57.5
61.28,53
58.8,57.63
58.9,55.38
68.58,68.38
60.55,49
59.18,54.5
59.6,56.13
66.2,60.88
62.58,63.13
48.33,47.88
52.88,52.63
48.08,45.88
68.6,70.46
63.93,60
71.78,76.38
56.83,54.25
58.5,60.63
61.58,58.5
61.58,58.5
61.35,58
58.2,65
66.65,68.5
66.65,68.5
59.08,66.75
62.75,62.13
64.3,65.38
60.05,55.13
59.8,55.75
72.48,62.13
67.65,64.25
56.03,50.75
53.35,59.38
62.15,58.5
64.05,60.13
66.9,61.38
61.45,55.25
59.93,54.25
65.75,56.75
56.35,52.5
63.8,64.25
65.95,59.88
54.7,57.75
59.55,57.75
63.85,70.13
68.5,69.88
72.25,66.5
69.4,67.75
57.03,55.38
66.58,64.63
62.08,58.88
53.15,46.38
59.4,55.13
63.68,68.13
61.3,54.63
70.78,71.25
63.15,59.75
63.65,61.13
70.43,67.25
53.9,55.38
60.15,57.13
64.13,68.38
64.15,50.38
53.35,45.88
63.78,68.38
62.65,60.63
58.98,55.5
57.38,61
63.7,58
72.25,66
52.65,57.63
65.35,61.75
69.68,64.38
62.85,59.75
66.85,67
61.15,67.13
58.85,64
47.8,61.88
47.8,61.88
65.15,63.75
55.1,57
65.25,64.75
65.3,64.88
66.98,63.75
58.18,56.25
71.68,66.38
60.08,51
59.4,53.75
63.5,59.63
72.08,67.63
70.83,69.5
55.63,49.13
70.43,66.25
68.23,68.5
71.38,66.5
62.08,62.38
61.03,52.88
55.48,49.75
58.63,54.25
58.63,54.25
58.1,56.38
63.85,60.88
55.23,46
58.98,51.63
67.53,69.5
69.38,65
60.6,58.5
60.73,54.63
61.88,60.25
62.63,54
45.18,44.5
63.2,67.63
70.23,72.25
68.73,63.5
48.33,46.13
59,52.75
74.8,74.5
64.55,67.35
64.25,57.5
69.8,68
57.7,50.63
65.9,65.5
62.5,62.63
62.5,63.6
69.85,66.63
51.88,52.13
43.75,50.25
59.3,55.13
73.65,74.95
60.95,63.63
66.35,65
48,51
63.05,65.88
69.65,67.25
65.25,67.15
68.68,54.5
58.85,65.25
68.85,70.55
66.28,63.4
61.6,68.63
53.23,57.88
50.33,52.13
65.98,66.38
58.48,50.63
43.68,41.38
68.58,73.3
59.75,64.13
65.4,59.38
70.8,70.55
58.85,56.13
58.95,56.25
59.7,56.25
55.95,62.25
58.55,53.25
64.35,61
74.2,73.7
73.15,74.46
73.15,76.25
65.33,53.63
59.83,61.75
59.83,61.75
69.73,69.65
59.53,53.63
46.18,53.75
61.4,54
71.9,67.4
62.48,59.88
67.08,66.65
71.3,60.67
49.08,45.75
49.08,47.45
47.33,52.75
60.88,52.38
61.8,56.75
69.88,60.4
63.4,62.9
65.85,63.6
51.35,48.38
62.8,51.55
60.63,61.2
67.65,76.35
47,49.88
66.1,69
64.58,59.05
55.9,56.13
65.38,48.75
65.38,51
54.4,52
68.1,67.55
47.78,47.88
73.63,65.7
44.8,49.25
44,45
51.5,42.25
51.6,53
47.8,48.5
49.4,51.75
48.1,45.75
53.4,47
47.7,41
55,61.25
48.7,54
41.2,43.5
54.3,57
53.5,63
63.8,77.25
69.4,68.8
67.08,71.45
69.3,67.35
74.1,71.1
71.3,72.55
63.58,51.65
70.18,60.38
65.48,67.9
64.1,65.45
65.03,72.88
66.5,70.1
66.45,66.5
69.8,69.85
73.55,57.13
73.55,59.8
60,59.6
67.18,64.29
68,71.5
62.7,57.65
65.3,65.45
68.85,70.95
56.78,59.7
61.55,56
62.8,58.25
62.8,59.5
58.9,61.5
62.9,60.2
73.23,78.7
66,65.7
66.08,65.8
53.9,44.13
66.28,57.25
63.6,59.7
66.4,68.13
64.63,67.55
68.43,61.75
68.83,72.15
62.88,60.7
65.53,66.7
63.8,60.35
62.05,53
67.38,63.1
63.83,64.3
56.55,57.5
74,69.13
63.85,65.25
68.53,60.5
71.18,65.25
66.13,63.7
65.28,62.25
56,56
69.6,63.25
61.75,65.4
66.4,57.65
60.43,49.5
66.53,64.13
68.1,68.6
56.4,57
63.25,61.15
69.3,59.38
57.78,63.55
60.43,59.15
68.58,73.55
68.33,63.63
58.98,59.8
59.5,61.5
65.28,60.75
65.28,62.1
63.1,62.85
66.08,66.13
71.55,67.7
63.88,69.75
69.53,65.29
56.55,53.38
57.88,63.7
58.33,59
67.4,73.75
65.6,67.5
58.58,60.38
59.45,57.88
59.45,60.85
62.6,55.88
62.75,59.65
63.3,61.65
66.1,52.8
71.03,73.65
69.33,63.35
69.18,63.45
64.1,76.9
67,67.4
62.2,65.6
71.85,69.9
70.8,63.6
68.13,54.33
62.13,59.5
60.65,66.85
61.4,57.4
66.73,63.8
63.38,60.8
65.93,65.8
63,62.85
67.38,68.45
66.73,64.88
67.58,70.13
67.58,70.7
64.25,73.15
64.8,61.05
65.15,66.55
68,64.3
63.13,63.95
66.55,68
67.03,68.75
66.4,66.75
66.4,67.85
68,66.3
65.95,64.35
66.25,67.45
60.68,58.25
57.75,56.95
59.7,62.55
53.83,54.86
66.1,64
68.1,65.7
76.13,59.38
62.85,61.2
70.68,69.15
57.13,59.65
63.73,62.75
68.95,66.6
65.93,64.4
64.95,62.65
64.48,64.8
67.93,56.65
64.1,58.38
62,68.6
52.65,54.5
61.25,62.5
58.28,57.35
61.4,64.7
63.6,59.63
65.85,67
63.83,62.05
58.58,58.7
55.78,54.13
60.18,59.75
70.03,70.88
70.03,73.95
64.85,59.15
63.25,59.45
61.1,60.5
62.18,60.3
58.03,53.38
58.03,55.95
66.8,73.25
71.68,71.65
62.65,62.75
63.83,66.15
65.78,64.5
65.53,66.65
67.65,65.85
52.1,52.75
52.1,55.5
66.25,70.63
67.23,66.5
58.1,57.45
60.58,59.35
65.25,67.5
64.9,62.35
58.13,59.45
61.85,63.4
70.38,73.5
68.95,68.15
70.98,59.7
59.98,63
69.98,65
68.78,66.35
65.03,53.1
64.75,57.15
62.3,61.4
63.05,73.75
63.4,58.35
69.85,69
68.03,63.15
67.13,67.85
61.08,50.5
62.2,65.4
74.35,59
63.5,56.4
63.48,63.1
62.4,63.55
61.75,59.5
65.68,67.8
66.4,68.1
58.93,54.5
59.75,49.3
52.75,51.88
58.75,59.95
68.23,68
62.98,65.9
70.28,63.13
65.85,64.35
56.75,54
63.1,62.7
50.18,46.88
67.05,65.3
60.68,61.95
50.9,46.13
50.9,46.75
61.65,67.2
66.75,64.8
46.6,46.38
46.6,47.6
63.9,71.8
67.93,65.45
66.25,56.8
63.6,63.85
69,71
60.53,67.75
69,62.75
59.7,61.55
56.75,58.25
67.3,70.1
57.8,52.38
57.8,53.7
62.45,60.7
64.8,66.25
67.23,65.7
64.65,62.9
61.5,64.5
62.43,64.4
