First,Final
58.35,57.95
61.98,62.35
56.03,55.95
67.23,62.4
61.55,58.35
64.55,63.3
57.85,62.5
58.83,62.38
62.25,59.88
62.25,61.35
64.3,64.3
62.75,61
67.75,60.6
65.28,62.8
57.35,62.25
64.6,58.25
59.5,58.13
60.7,65.55
60.6,64.45
66.75,64.75
71.28,55
59.9,60.55
65.2,65
60.4,60.55
66,64.35
67.2,65.13
67.2,66.35
68.65,64.05
56.58,61.7
65.9,64.45
59.15,55.7
58.45,69.45
60.15,63.95
67.83,68.35
62.35,61.9
59.1,56.75
68.98,62.75
57.83,62.05
62.65,62.15
70.23,70.25
61.65,55.13
61.65,56.05
64.83,57.9
50.05,49.88
57.93,47
57.93,49
65.15,65.1
60.1,53.45
65.73,59.2
71.28,70.6
64.8,58.7
58.98,56.63
68.5,57.75
68.98,65.15
57.95,57.1
55.7,56.88
57.85,60.1
55.58,58.65
67.55,67.3
72.73,67.85
60,50.05
68.85,70.45
63.8,61.25
59.28,57.5
67.83,63.25
60.75,52.1
66.43,68
68.5,61
61.3,65.25
59.43,55.9
69.5,59.5
64.43,65.85
60.23,62.65
53.18,53.63
65.93,63.6
64.05,59.55
66.4,66.85
66.25,65.05
60.83,64
65.53,65.9
68.48,69
67.58,62.55
58.25,51.3
59.9,57.35
62.45,60
63.33,56.5
63.33,59.35
66.63,68.2
63.55,70.15
61.98,60.15
64.88,61.4
65.38,63.7
60.95,61.7
63.98,63.85
65.28,62.55
67.85,64.8
72.48,72.7
59.13,54.05
68.8,77.6
55.23,49
71.9,65.75
60.03,59.13
65.3,59.1
69.63,67.7
63.43,59.29
66.98,76
63.38,62.8
68.85,65.95
64.58,62.4
59.78,50.88
64.4,63.55
62.13,61.4
68.18,66.65
59.53,61.9
61.75,59.6
59.18,61.25
63.53,66.25
63.8,56.43
73.15,57.25
57.2,63.75
66.3,48.88
66.3,51.65
71.85,67.85
76.35,69.95
68.18,65.85
64.1,62.7
57.95,57.8
67.95,67.45
65.48,61.38
63.78,65.9
60.4,61.3
69.08,70.45
65.1,59.65
59.13,54.13
63.68,62.8
56.23,52
56.23,54.4
59.38,57.9
55.1,55
62.08,60.55
71.75,68.85
62.48,65.4
66.6,62.85
68.33,64.8
50.65,49
56.08,58.95
59.53,57.05
66.38,61.1
71.3,61.33
50.75,45.5
65.63,70.25
73.48,77.95
73.88,67.63
70.2,58.85
56.85,59.75
60.15,59.65
63.48,52.25
64.1,58.75
67.88,61.5
65.75,66.45
66.78,65.85
62.05,60.5
67.45,69.25
70.13,60.13
54.85,55.38
54.85,56.05
67.3,74.8
73.93,69.5
64.63,60.8
70.5,65.35
65.53,59.3
65.2,65.95
57.68,60.9
66.18,58.3
63.43,66.63
63.43,67.65
68.6,63.65
64.03,65.85
47.48,51.38
47.48,53.85
72.35,68.5
64.48,60.05
60.58,55.38
67.8,65.2
60.05,69.45
49.78,50.71
59.85,70.13
61.9,59.75
58.88,70.4
64.53,64
67,69.05
55.45,62.1
51.48,50.38
60.18,66.13
61.05,65.3
57.25,52.5
60.4,62.45
61.08,61.15
62.5,62.2
65.58,60.65
56.55,47
56.55,48.4
62.85,62.6
53.33,55.5
63.38,64.45
57.25,50.7
67.6,66.7
60.85,66.38
60.25,62.38
63.15,51.9
68.2,64.1
69.13,62.7
65.43,61.8
66,65.9
67.43,64.9
58,58.05
62.43,63.6
62.08,52.9
62.88,57
54.6,62.88
54.6,67.45
69.55,67.63
66.28,59.15
65.48,56.63
63.5,71.85
61.13,58.3
65.73,64.3
70.08,69.13
69.4,68.95
54.65,55.5
54.65,57.5
65.9,63.9
58.18,60.1
57.23,62.4
66.63,61.55
59.55,59.5
63.8,64.35
60.18,58.75
60.18,61.25
54.93,58.45
64.6,70.75
59.3,55.85
58.93,56.5
67.75,61.9
63.55,65.75
60.98,47.9
62.35,60.35
61.75,59.05
67.4,73.15
60.45,63.75
64.05,62.3
62.55,53.5
66.58,66.4
63.53,60.5
50.83,52.25
71.33,70.4
56.73,58.7
73.5,75.5
67.55,64.8
65,62.3
56.9,61.45
58.28,52.13
63.5,54.95
61.38,59.4
69.4,75.25
67.68,64.95
55.58,57.13
71.33,68
60.4,59.88
60.4,61.3
62.2,62.8
45.68,43.38
55.45,54
54.83,46.25
66.45,65.25
69.65,69.25
63.5,57.4
60.2,60.95
64.98,65.85
61.2,55.9
57.08,61.63
69.1,60.95
67.43,69.05
60.38,61.4
64.13,63.65
68.43,63.75
61.73,62.5
65.7,49.75
63.73,63.35
70.63,65.75
60.2,53.9
65.45,61
73.78,65.75
73.78,67.75
62.15,59.88
65.78,61.35
58.28,54.75
68.6,67.2
70.45,66.6
68.05,68.75
60.55,59
65.55,67.85
55.95,53.9
57.05,61.4
69.43,65.6
59.38,56.25
68.7,64.2
66.38,64.2
58.23,54.63
65.43,69.8
63.15,64.05
57.45,59.5
56.2,56.95
56.85,53.5
51.98,53.25
65.77,57.67
67.4,70.8
72.83,70.5
61.78,63.85
59.18,58.75
65.48,68
65.75,63.4
68.18,66.85
67.93,64.43
49.28,51.2
64.1,65.9
64.03,64.3
65.88,61
60.33,60
61.5,62.85
53.4,59.13
53.4,61.2
58.3,57.8
59.08,53.63
64,63
58.58,61.05
67.5,57.35
56.9,66.25
63.15,61.13
72.63,63.75
72.55,66
57.8,60.13
57.8,60.35
67.03,60.75
64.45,63.75
64.58,64.13
64.58,65.15
57.3,51.85
55.58,55.7
66.58,65.25
66.95,66.75
73.08,68.9
61.58,64.9
75.55,71.4
57.55,60.1
71.48,66.25
54.3,45.88
65,64.95
70.68,62.5
65.25,58.85
65.33,65.5
60.28,60.35
74.5,76.85
64.85,65.35
56.1,55.83
55.58,54.45
67.18,65.25
54.5,50.63
46.77,51.33
66.2,64.25
68.35,62.9
63.43,58.95
62.8,64.9
70.1,66.85
47,43
47,44
47.98,51.25
60.48,60.38
66.7,69.63
59.53,61.95
62.2,61.5
56.35,56.9
68.8,64
61.45,62.71
59.93,61.55
62.25,58.7
54.48,57
66.53,72.75
68.85,60.88
68.08,67.05
57.95,68
75.2,70.05
71.98,71.63
73.38,68.8
69.48,64.5
68.93,68
55.33,47.55
54.05,49.25
68.43,66.35
61.85,57.95
65.93,65.4
69.8,65
69.73,68.3
61.33,68.95
61.18,60.9
65.08,73.63
83.55,70.88
53.95,51.75
67.58,68.75
60.73,61
62.48,57.75
65.25,66.88
67.3,65.38
64.73,65.13
59.93,49.5
64.58,65.63
57.83,58.5
51.93,61.63
64.03,65.75
46.78,44.88
68.9,78.75
52.5,51.75
64.73,68.25
60.65,45.13
51.03,55.75
63.23,63.25
66.08,66.75
62.38,58.75
65.43,50
71.65,67.63
63.78,71.75
62.93,56.63
64.1,65.88
67,61
73.2,62.63
60.68,58.88
63.85,60.25
72.65,71.63
57.73,46.5
51.2,51.63
59.7,60.5
70.1,69.38
66.25,64.75
67.03,73.25
58.28,63
62.33,58.88
64.68,63.88
64.73,52
60.73,61.75
64.3,61.63
49.2,47.25
65.35,63.25
61.73,63.25
68.43,66.13
63.1,61.63
64.2,67.63
72.73,72.21
68.53,60.5
74.43,60.75
69.05,69.88
59.43,57
69.15,65.38
59.55,67
63.28,68.38
69.43,63.5
49.1,47.75
64.15,69.13
64.23,61.25
52.05,50.75
59.43,69.5
54.63,54.25
47.75,50
63.8,54.38
69.35,66
57.98,59
63.4,61.5
54.6,57.13
72.53,69.75
65.98,63.75
47.53,48.25
61.25,60.75
66.1,64.38
54.98,45.75
64.55,62.25
64.65,61.63
56.25,62.25
59.48,56.13
65.45,62.13
64.48,63.38
59.28,55
54.43,51.75
67.53,68.25
73.68,69
59.48,65
57.63,57
48.68,50.75
52.25,53
51.9,57.88
65.05,59.13
60.28,59.75
58.95,58
68.2,66.88
64.93,64
66.18,66.13
66.33,65
70.9,69
65.28,60.75
75.3,71.5
75.5,69.13
64.9,60.63
62.78,52.88
62.43,65.75
71.53,66.25
68.68,65.38
61.8,70.63
71.8,66.13
69.38,74.13
62.33,63.5
65.83,66.29
70.68,60.13
62.6,57.75
65.68,59.63
74.85,74.58
67.6,67.25
64.38,67.25
77.08,63.38
60.3,58.63
63.63,65.75
66.33,60.25
54.03,50.5
67.88,68.25
62.85,67.13
67.25,64.88
67.48,75.13
65.73,65.63
64.13,57.75
60.85,61.88
62.8,63.63
74.08,67.83
65.98,64
57.4,59.13
59.63,60.88
62.03,61
59.35,51.75
65.83,63.38
58.75,69.38
73.55,59.38
65.53,61.5
58.73,61.75
63,59.25
67.43,51.63
59.75,57.63
65.2,74
54.03,50.88
61.1,59.88
66.33,62.75
58.9,56.88
70,64.88
59.2,60.5
72.5,63.88
70.8,67.04
66.98,65.25
55.55,59.25
68.48,59.75
72.73,69.42
57.5,58.88
61.6,60.13
64.93,65.38
67.1,63.25
67.15,71.25
66.08,64.13
73.53,71.88
67.03,60.13
57.8,55.88
67.25,64.88
57.35,58.75
60.95,60.38
75.65,68
58.58,61.25
65.55,60.5
66.45,60.13
68.83,74.13
62.38,50.38
59.03,55.88
61.83,55.63
64.63,64.13
52.63,53.75
71.43,62.5
62.25,59.38
63.53,62.75
56.9,62.25
60.2,66.63
65.95,62.38
67.38,65.13
59.18,55.75
66.63,59.63
63.88,59.13
65.63,64.5
65.4,63.75
65.23,63
68.33,64.88
62.2,65.88
61.8,59.75
58.7,63
59.8,62.63
59.7,55.63
65.15,58.88
57.73,56.25
69.15,60.5
70.95,63.25
52.3,45.5
67.55,71.88
66.53,65.63
56.28,73.13
61.8,59.13
53.38,53.5
57.9,56.63
60.8,59.75
61.88,65.04
57.78,51.63
61.35,61
65.48,63.75
65,61
63.3,58.63
65.45,64.92
64.43,60
61.05,66.38
66.1,57.75
59.93,52.63
66.65,58.63
61.45,61.5
64.75,63.38
61.08,65.5
67.38,70.63
67.4,60.5
58.48,58.25
54.93,51.88
61.08,64.88
53.5,57.63
68.5,63.38
74.75,59.38
61.48,62.75
68.8,67.04
58.8,58.38
65.3,64
68.43,72.25
67.58,62.25
56.28,56.38
60.4,57.75
65.95,57.75
65.83,67.63
61.93,65.88
70.98,69.17
61.73,49.88
70.28,65.5
62.08,63.5
58.38,60.5
66.7,61.38
59.18,60.38
58.65,53.25
57.45,62
69.78,65.63
63.28,62.75
67.68,65.25
62.73,63
67.35,69.13
53.5,63.13
67.13,54.25
62.45,64.38
61.9,64.88
53.03,51.38
65.08,63.75
60.15,63.13
74.83,66
59.03,64.25
66.45,66
56.95,60.5
83.45,69.63
78.03,67.63
63.58,62.75
67.73,61.38
54.65,55.38
65.25,67.88
63.85,54.25
53.03,52.13
64.93,64.25
60.55,61.75
54.43,56.13
69.2,67.58
64.4,56.13
57.1,55.25
75.9,73.13
71.25,67.63
68.85,68.38
56.75,66
69.75,64.13
61.85,61.25
69.48,62.5
63.5,70.13
70.23,62.63
67.08,61.63
65.48,60.13
65.68,74.75
66.15,65.75
62.1,65.63
66.93,65
65.18,69
69.25,61.88
63.58,61
71.85,72.5
60.9,57.38
67,61
66.15,65.38
63.58,72.13
60.58,56.75
62,61.75
65.98,58
63.28,60.25
57.73,65.13
61.05,63.5
74.05,66.5
61.68,66.75
47.9,47.5
75.63,77.25
62.35,59.88
47.05,45.75
59.43,55.75
54.63,62
65.85,53.63
67.95,71.5
61,64.38
63.43,63.38
64.68,59.5
70.33,70.38
58.13,59.13
61.73,61.88
59.5,62.25
61.75,56.88
55.88,56.25
72.95,69.63
71.3,71.63
59.98,55.75
61.68,70.38
66.95,66.88
61.08,49.75
59.78,61.38
68.8,62.63
64.9,59.88
53.85,44.63
74.3,69.25
65.7,68.38
56.85,62.88
59.55,62.38
69.48,69.88
70,62.63
63.38,65.13
66.38,63.13
60.68,59.75
62.28,61.5
57.15,62.13
62.2,63.63
67.8,73.38
69.35,66.75
69.88,54.38
61.35,62.38
77.2,55.25
57.83,52.75
64.98,61
67.9,70.21
63.58,60
63.05,56.75
62.4,65.5
64.08,60.88
64.43,63.63
60.33,62.38
59.1,57.75
55.18,55.38
66.9,64.38
62.63,60.63
60.65,63.75
58.68,53.75
59.43,57.5
65.6,60.13
70.03,62.42
53.58,70.25
62.9,62.96
57.23,60.75
71.4,75.75
61.83,49.75
59.5,63.38
53.65,63.13
57.45,62
67.13,62.38
64.2,61.88
58.03,63.38
64.85,64.13
64.43,64.5
51.88,57.13
63.88,63.5
63.78,58.38
66.98,64.5
54.35,64
50.8,57.63
56.5,62.63
58.53,63.25
69.93,64.75
62.08,57.63
58.5,65.13
68.53,69
54.2,53.63
66.7,62.5
67.4,66.75
52.33,54.5
59.1,64.63
62.45,60.88
69.53,55
67.03,63.75
65.78,61.5
68.5,64.5
59.48,56.13
52,53.13
61.1,58
60.8,62
63.18,61.63
60.23,55
49.7,48.88
73.43,60.88
61.8,59.5
57,56.5
53.9,60.13
66.13,69.25
60.98,57.63
55.63,51.63
63.6,56.88
64.8,56.38
64.95,58.75
67.8,55
62.68,55.5
63.05,67.38
54.1,55.63
60.3,58.25
66.85,58.63
62.25,52
53.65,64.5
59.38,57
58.23,60
49.6,43.38
56.25,57.38
63.5,63.25
61.23,59.75
58.38,53.88
67.7,65.5
62.9,71.88
69.73,72.5
64.9,62.38
60.35,58.63
54.55,54.5
60.3,58.88
57.23,56.75
55.4,58.88
52.7,48.13
72.48,71.13
57.8,49.75
68.03,67.88
57.08,55.38
64.43,68
58.98,63.13
64.03,60.63
57.58,55.5
62.2,68.33
61.15,51.75
65.18,70.63
61.98,59.63
64.43,54.88
62.15,61.88
60.95,59.88
63.68,69.5
59.88,66.88
65.13,58.13
57.73,58.88
67.78,62.21
69.28,65
60.8,61.13
64.43,64.25
63.63,65.88
62.58,61
64.63,59.13
65.55,67.13
69.53,64.25
48.8,53.5
57.78,49.5
66.8,65
60.7,58.88
66.05,65.5
62.6,68.25
57.35,56.13
61.45,76.88
60.5,58.5
67.13,62.13
54.95,54
61.6,48.13
59.18,67.5
70.13,68
66.58,58.75
57.28,58.38
68.3,62.67
57.38,59.13
59.55,59.63
62.1,66.54
57.93,56
64.63,65.25
64.85,64.5
57.38,49.75
64.75,62.63
60.38,61.75
53.05,58.13
70.05,64.63
48.35,50.63
60.83,60.75
66.55,54.88
61.9,63.13
58.33,60.38
58.68,60.75
68.3,70.29
60.78,61.5
68.3,62.25
56.23,59.63
74.13,67.5
66.43,64
67,64.75
60.9,59
63.43,65
57.63,59.5
62.5,63.75
63.85,63.75
65.88,64.38
62.43,55.63
67.93,69.5
56.53,55
67.6,58.88
51.98,51.38
64.98,57
54.4,48.88
65.23,62.5
63.05,57.63
64.03,64.63
59.53,58.75
54.28,49.25
62.85,57.38
65.95,62.75
61.55,56.75
64.18,57.88
68.18,66.38
64.9,63.38
67.5,62.63
61.15,59
69.38,65.5
59.08,55.88
52.33,58.38
64.78,61.75
65.4,61
63.38,69
63.43,56.5
57.43,55
59.85,60.13
53.45,56.88
58.75,58.75
66.75,55.88
57,59.25
69,65.38
61.5,64.63
64.25,61.63
62.3,58.25
64.7,57.25
50.08,48.63
63.83,68.25
51.43,54.75
68.63,54
75.03,68.13
64.8,66.5
60.73,58
49.4,51.5
58.8,58
65.23,62
62.9,68.75
68.4,64.38
52.08,67.13
54.63,61.25
52.55,51.25
56.85,63.5
67.4,66.75
59.5,58.38
65.13,65.63
59,56.5
52.3,56.75
53.55,59.38
67.53,65.75
58.23,54.5
60.28,56.63
54.75,53.75
70.68,70.5
55.53,59.88
58.75,56.13
66.4,59.25
75.98,65.38
